Temperature,Genotype,Tree,Bud_Type,Time to break bud (BBCH 09),Time to break bud (BBCH 10)
5,Early_hybrid,C3,t,NA,NA
5,Early_hybrid,C3,b,147.125,147.125
5,Early_hybrid,C3,b,147.125,147.125
5,Early_hybrid,C3,b,153.125,153.125
5,Early_hybrid,C3,b,147.125,147.125
5,Early_hybrid,C3,b,147.125,147.125
5,Early_hybrid,C3,b,144.125,144.125
5,Early_hybrid,C3,b,161.125,161.125
5,Early_hybrid,F1,t,NA,NA
5,Early_hybrid,F1,b,144.125,144.125
5,Early_hybrid,F1,b,144.125,144.125
5,Early_hybrid,F1,b,144.125,144.125
5,Early_hybrid,F1,b,147.125,147.125
5,Early_hybrid,F1,b,146.125,146.125
5,Early_hybrid,F1,b,144.125,144.125
5,Early_hybrid,F1,b,144.125,144.125
5,Early_hybrid,F1,b,147.125,147.125
5,Early_hybrid,F1,b,147.125,147.125
5,Early_hybrid,F1,b,153.125,153.125
5,Early_hybrid,F1,b,144.125,144.125
5,Early_hybrid,H4,t,NA,NA
5,Early_hybrid,H4,b,174.125,174.125
5,Early_hybrid,H4,b,174.125,174.125
5,Early_hybrid,H4,b,179.125,179.125
5,Early_hybrid,J3,t,NA,NA
5,Early_hybrid,J3,b,129.125,129.125
5,Early_hybrid,J3,b,147.125,147.125
5,Early_hybrid,J3,b,167.125,167.125
5,Early_hybrid,K1,t,NA,NA
5,Early_hybrid,K1,b,174.125,174.125
5,Early_hybrid,K1,b,186.125,186.125
5,Early_hybrid,C3,t,NA,NA
5,Early_hybrid,C3,b,161.125,161.125
5,Early_hybrid,C3,b,144.125,144.125
5,Early_hybrid,C3,b,144.125,144.125
5,Early_hybrid,F1,t,NA,NA
5,Early_hybrid,H4,t,144.125,144.125
5,Early_hybrid,H4,b,144.125,144.125
5,Early_hybrid,H4,b,NA,NA
5,Early_hybrid,J3,t,NA,NA
5,Early_hybrid,J3,b,129.125,129.125
5,Early_hybrid,J3,b,133.125,133.125
5,Early_hybrid,K1,t,NA,NA
5,Early_hybrid,C3,t,NA,NA
5,Early_hybrid,F1,t,NA,NA
5,Early_hybrid,H4,t,NA,223.125
5,Early_hybrid,J3,t,NA,NA
5,Early_hybrid,K1,t,NA,NA
10,Early_hybrid,C3,t,80.125,94.125
10,Early_hybrid,C3,b,52.125,87.125
10,Early_hybrid,C3,b,52.125,87.125
10,Early_hybrid,C3,b,52.125,77.125
10,Early_hybrid,C3,b,52.125,87.125
10,Early_hybrid,F1,t,80.125,90.125
10,Early_hybrid,F1,b,52.125,73.125
10,Early_hybrid,F1,b,52.125,77.125
10,Early_hybrid,F1,b,66.125,95.125
10,Early_hybrid,H4,t,NA,NA
10,Early_hybrid,H4,b,59.125,87.125
10,Early_hybrid,H4,b,59.125,93.125
10,Early_hybrid,H4,b,52.125,82.125
10,Early_hybrid,H4,b,52.125,73.125
10,Early_hybrid,H4,b,52.125,73.125
10,Early_hybrid,H4,b,52.125,73.125
10,Early_hybrid,J3,t,59.125,84.125
10,Early_hybrid,J3,b,52.125,73.125
10,Early_hybrid,J3,b,52.125,66.125
10,Early_hybrid,J3,b,52.125,73.125
10,Early_hybrid,J3,b,52.125,73.125
10,Early_hybrid,J3,b,52.125,70.125
10,Early_hybrid,K1,t,NA,NA
10,Early_hybrid,K1,b,63.125,102.125
10,Early_hybrid,C3,t,97.125,NA
10,Early_hybrid,C3,b,52.125,70.125
10,Early_hybrid,C3,b,59.125,87.125
10,Early_hybrid,C3,b,52.125,70.125
10,Early_hybrid,F1,t,NA,129.125
10,Early_hybrid,F1,b,52.125,87.125
10,Early_hybrid,F1,b,59.125,76.125
10,Early_hybrid,F1,b,52.125,73.125
10,Early_hybrid,H4,t,59.125,83.125
10,Early_hybrid,H4,b,52.125,77.125
10,Early_hybrid,J3,t,72.125,82.125
10,Early_hybrid,J3,b,59.125,77.125
10,Early_hybrid,J3,b,52.125,73.125
10,Early_hybrid,J3,b,52.125,73.125
10,Early_hybrid,J3,b,59.125,77.125
10,Early_hybrid,K1,t,NA,NA
10,Early_hybrid,K1,b,82.125,NA
10,Early_hybrid,C3,t,NA,NA
10,Early_hybrid,F1,t,80.125,85.125
10,Early_hybrid,H4,t,NA,NA
10,Early_hybrid,J3,t,NA,NA
10,Early_hybrid,J3,b,52.125,73.125
10,Early_hybrid,J3,b,63.125,77.125
10,Early_hybrid,K1,t,NA,NA
15,Early_hybrid,C3,t,57.125,63.125
15,Early_hybrid,C3,b,33.125,52.125
15,Early_hybrid,C3,b,28.125,48.125
15,Early_hybrid,C3,b,28.125,46.125
15,Early_hybrid,C3,b,33.125,52.125
15,Early_hybrid,C3,b,33.125,42.125
15,Early_hybrid,F1,t,NA,NA
15,Early_hybrid,F1,b,NA,NA
15,Early_hybrid,F1,b,NA,NA
15,Early_hybrid,F1,b,33.125,48.125
15,Early_hybrid,F1,b,NA,NA
15,Early_hybrid,H4,t,NA,NA
15,Early_hybrid,H4,b,31.125,46.125
15,Early_hybrid,H4,b,28.125,45.125
15,Early_hybrid,J3,t,NA,NA
15,Early_hybrid,J3,b,40.125,52.125
15,Early_hybrid,J3,b,37.125,46.125
15,Early_hybrid,J3,b,39.125,52.125
15,Early_hybrid,K1,t,NA,NA
15,Early_hybrid,K1,b,40.125,NA
15,Early_hybrid,K1,b,40.125,66.125
15,Early_hybrid,K1,b,35.125,52.125
15,Early_hybrid,K1,b,28.125,46.125
15,Early_hybrid,C3,t,NA,NA
15,Early_hybrid,C3,b,38.125,NA
15,Early_hybrid,C3,b,38.125,NA
15,Early_hybrid,C3,b,39.125,59.125
15,Early_hybrid,C3,b,51.125,61.125
15,Early_hybrid,F1,t,NA,NA
15,Early_hybrid,F1,b,38.125,NA
15,Early_hybrid,F1,b,27.125,44.125
15,Early_hybrid,F1,b,27.125,35.125
15,Early_hybrid,F1,b,26.125,35.125
15,Early_hybrid,H4,t,NA,NA
15,Early_hybrid,H4,b,39.125,NA
15,Early_hybrid,J3,t,NA,NA
15,Early_hybrid,J3,b,37.125,52.125
15,Early_hybrid,J3,b,45.125,63.125
15,Early_hybrid,K1,t,NA,NA
15,Early_hybrid,K1,b,60.125,NA
15,Early_hybrid,C3,t,NA,NA
15,Early_hybrid,F1,t,NA,NA
15,Early_hybrid,F1,b,NA,NA
15,Early_hybrid,H4,t,NA,NA
15,Early_hybrid,H4,b,38.125,59.125
15,Early_hybrid,J3,t,NA,NA
15,Early_hybrid,J3,b,35.125,NA
15,Early_hybrid,K1,t,NA,NA
20,Early_hybrid,C3,t,26.125,NA
20,Early_hybrid,C3,b,NA,NA
20,Early_hybrid,C3,b,NA,NA
20,Early_hybrid,C3,b,32.125,39.125
20,Early_hybrid,C3,b,24.125,31.125
20,Early_hybrid,F1,t,NA,NA
20,Early_hybrid,F1,b,26.125,NA
20,Early_hybrid,F1,b,24.125,NA
20,Early_hybrid,F1,b,35.125,NA
20,Early_hybrid,F1,b,19.125,26.125
20,Early_hybrid,F1,b,24.125,28.125
20,Early_hybrid,H4,t,NA,NA
20,Early_hybrid,H4,b,24.125,35.125
20,Early_hybrid,H4,b,33.125,52.125
20,Early_hybrid,J3,t,NA,NA
20,Early_hybrid,J3,b,NA,NA
20,Early_hybrid,J3,b,NA,NA
20,Early_hybrid,J3,b,NA,NA
20,Early_hybrid,J3,b,NA,NA
20,Early_hybrid,J3,b,NA,NA
20,Early_hybrid,J3,b,NA,NA
20,Early_hybrid,J3,b,38.125,44.125
20,Early_hybrid,K1,t,NA,NA
20,Early_hybrid,K1,b,NA,NA
20,Early_hybrid,C3,t,NA,NA
20,Early_hybrid,C3,b,NA,NA
20,Early_hybrid,C3,b,NA,NA
20,Early_hybrid,C3,b,32.125,NA
20,Early_hybrid,F1,t,NA,NA
20,Early_hybrid,F1,b,NA,NA
20,Early_hybrid,F1,b,NA,NA
20,Early_hybrid,F1,b,35.125,NA
20,Early_hybrid,H4,t,28.125,NA
20,Early_hybrid,H4,b,26.125,NA
20,Early_hybrid,J3,t,NA,NA
20,Early_hybrid,J3,b,26.125,NA
20,Early_hybrid,J3,b,38.125,NA
20,Early_hybrid,K1,t,NA,NA
20,Early_hybrid,K1,b,NA,NA
20,Early_hybrid,K1,b,NA,NA
20,Early_hybrid,K1,b,NA,NA
20,Early_hybrid,C3,t,NA,NA
20,Early_hybrid,F1,t,NA,NA
20,Early_hybrid,H4,t,NA,NA
20,Early_hybrid,H4,b,NA,NA
20,Early_hybrid,J3,t,NA,NA
20,Early_hybrid,J3,b,25.125,31.125
20,Early_hybrid,K1,t,NA,NA
25,Early_hybrid,C3,t,NA,NA
25,Early_hybrid,C3,b,NA,NA
25,Early_hybrid,C3,b,NA,NA
25,Early_hybrid,C3,b,35.125,NA
25,Early_hybrid,C3,b,21.125,23.125
25,Early_hybrid,F1,t,24.125,26.125
25,Early_hybrid,F1,b,24.125,NA
25,Early_hybrid,F1,b,24.125,NA
25,Early_hybrid,F1,b,21.125,NA
25,Early_hybrid,F1,b,21.125,23.125
25,Early_hybrid,H4,t,NA,NA
25,Early_hybrid,H4,b,24.125,NA
25,Early_hybrid,H4,b,NA,NA
25,Early_hybrid,H4,b,25.125,NA
25,Early_hybrid,J3,t,NA,NA
25,Early_hybrid,J3,b,NA,NA
25,Early_hybrid,J3,b,NA,NA
25,Early_hybrid,J3,b,NA,NA
25,Early_hybrid,K1,t,NA,NA
25,Early_hybrid,K1,b,NA,NA
25,Early_hybrid,K1,b,NA,NA
25,Early_hybrid,C3,t,NA,NA
25,Early_hybrid,C3,b,NA,NA
25,Early_hybrid,C3,b,NA,NA
25,Early_hybrid,F1,t,NA,NA
25,Early_hybrid,F1,b,NA,NA
25,Early_hybrid,F1,b,NA,NA
25,Early_hybrid,H4,t,NA,NA
25,Early_hybrid,H4,b,NA,NA
25,Early_hybrid,H4,b,NA,NA
25,Early_hybrid,J3,t,NA,NA
25,Early_hybrid,J3,b,NA,NA
25,Early_hybrid,J3,b,30.125,32.125
25,Early_hybrid,K1,t,NA,NA
25,Early_hybrid,K1,b,17.125,20.125
25,Early_hybrid,C3,t,25.125,28.125
25,Early_hybrid,C3,b,21.125,24.125
25,Early_hybrid,C3,b,21.125,23.125
25,Early_hybrid,F1,t,NA,NA
25,Early_hybrid,H4,t,NA,NA
25,Early_hybrid,J3,t,NA,NA
25,Early_hybrid,K1,t,NA,NA
25,Early_hybrid,K1,b,21.125,24.125
25,Early_hybrid,C3,t,29.125,31.125
25,Early_hybrid,F1,t,NA,NA
25,Early_hybrid,H4,t,NA,NA
25,Early_hybrid,J3,t,NA,NA
25,Early_hybrid,K1,t,21.125,26.125
5,Late_hybrid,F2,t,NA,NA
5,Late_hybrid,F2,b,NA,NA
5,Late_hybrid,H3,t,NA,NA
5,Late_hybrid,K3,t,NA,NA
5,Late_hybrid,K3,b,NA,NA
5,Late_hybrid,K3,b,NA,NA
5,Late_hybrid,K3,b,NA,NA
5,Late_hybrid,O1,t,NA,NA
5,Late_hybrid,O1,b,NA,234
5,Late_hybrid,O1,b,NA,223
5,Late_hybrid,R1,t,NA,NA
5,Late_hybrid,R1,b,NA,236
5,Late_hybrid,R1,b,NA,223
5,Late_hybrid,R1,b,NA,NA
5,Late_hybrid,R1,b,NA,223
5,Late_hybrid,F2,t,NA,NA
5,Late_hybrid,H3,t,NA,NA
5,Late_hybrid,K3,t,NA,NA
5,Late_hybrid,K3,b,NA,NA
5,Late_hybrid,O1,t,NA,NA
5,Late_hybrid,R1,t,NA,NA
5,Late_hybrid,R1,b,NA,236
5,Late_hybrid,R1,b,NA,NA
5,Late_hybrid,R1,b,NA,236
5,Late_hybrid,R1,b,NA,NA
5,Late_hybrid,F2,t,NA,NA
5,Late_hybrid,H3,t,NA,NA
5,Late_hybrid,K3,t,NA,NA
5,Late_hybrid,K3,b,NA,NA
5,Late_hybrid,O1,t,NA,NA
5,Late_hybrid,R1,t,NA,NA
5,Late_hybrid,R1,b,NA,234
5,Late_hybrid,R1,b,NA,NA
5,Late_hybrid,R1,b,NA,234
5,Late_hybrid,F2,t,NA,NA
5,Late_hybrid,H3,t,NA,NA
5,Late_hybrid,K3,t,NA,NA
5,Late_hybrid,K3,b,NA,NA
5,Late_hybrid,O1,t,NA,NA
5,Late_hybrid,R1,t,NA,NA
5,Late_hybrid,R1,b,NA,234
5,Late_hybrid,R1,b,NA,NA
5,Late_hybrid,F2,t,NA,NA
5,Late_hybrid,H3,t,NA,NA
5,Late_hybrid,K3,t,NA,NA
5,Late_hybrid,O1,t,NA,NA
5,Late_hybrid,R1,t,NA,223
5,Late_hybrid,R1,b,NA,NA
10,Late_hybrid,F2,t,NA,NA
10,Late_hybrid,F2,b,73,107
10,Late_hybrid,F2,b,80,110
10,Late_hybrid,F2,b,73,106
10,Late_hybrid,F2,b,66,106
10,Late_hybrid,F2,b,66,98
10,Late_hybrid,F2,b,66,98
10,Late_hybrid,F2,b,73,98
10,Late_hybrid,F2,b,73,106
10,Late_hybrid,F2,b,66,104
10,Late_hybrid,F2,b,80,102
10,Late_hybrid,H3,t,NA,NA
10,Late_hybrid,H3,b,95,NA
10,Late_hybrid,H3,b,66,NA
10,Late_hybrid,H3,b,66,110
10,Late_hybrid,K3,t,NA,NA
10,Late_hybrid,K3,b,66,97
10,Late_hybrid,K3,b,82,108
10,Late_hybrid,O1,t,NA,NA
10,Late_hybrid,O1,b,92,122
10,Late_hybrid,R1,t,NA,NA
10,Late_hybrid,R1,b,80,NA
10,Late_hybrid,R1,b,66,NA
10,Late_hybrid,R1,b,80,121
10,Late_hybrid,R1,b,80,110
10,Late_hybrid,R1,b,NA,129
10,Late_hybrid,F2,t,NA,NA
10,Late_hybrid,H3,t,NA,NA
10,Late_hybrid,K3,t,NA,NA
10,Late_hybrid,K3,b,NA,NA
10,Late_hybrid,K3,b,NA,NA
10,Late_hybrid,O1,t,NA,NA
10,Late_hybrid,O1,b,NA,NA
10,Late_hybrid,R1,t,NA,NA
10,Late_hybrid,R1,b,76,98
10,Late_hybrid,R1,b,82,NA
10,Late_hybrid,R1,b,NA,NA
10,Late_hybrid,F2,t,NA,NA
10,Late_hybrid,H3,t,92,101
10,Late_hybrid,K3,t,NA,NA
10,Late_hybrid,O1,t,NA,NA
10,Late_hybrid,R1,t,NA,NA
10,Late_hybrid,R1,b,NA,129
10,Late_hybrid,F2,t,NA,NA
10,Late_hybrid,H3,t,NA,NA
10,Late_hybrid,K3,t,NA,NA
10,Late_hybrid,O1,t,NA,NA
10,Late_hybrid,R1,t,NA,122
15,Late_hybrid,F2,t,NA,NA
15,Late_hybrid,F2,b,35,46
15,Late_hybrid,H3,t,NA,NA
15,Late_hybrid,H3,b,35,59
15,Late_hybrid,H3,b,35,46
15,Late_hybrid,H3,b,35,45
15,Late_hybrid,H3,b,45,NA
15,Late_hybrid,H3,b,38,59
15,Late_hybrid,H3,b,35,56
15,Late_hybrid,H3,b,33,NA
15,Late_hybrid,H3,b,45,59
15,Late_hybrid,H3,b,33,55
15,Late_hybrid,H3,b,46,NA
15,Late_hybrid,H3,b,35,52
15,Late_hybrid,H3,b,45,57
15,Late_hybrid,K3,t,NA,NA
15,Late_hybrid,K3,b,NA,NA
15,Late_hybrid,K3,b,NA,NA
15,Late_hybrid,O1,t,NA,NA
15,Late_hybrid,R1,t,NA,NA
15,Late_hybrid,R1,b,46,NA
15,Late_hybrid,R1,b,46,NA
15,Late_hybrid,R1,b,52,NA
15,Late_hybrid,R1,b,61,73
15,Late_hybrid,F2,t,NA,NA
15,Late_hybrid,H3,t,NA,NA
15,Late_hybrid,K3,t,NA,NA
15,Late_hybrid,K3,b,NA,NA
15,Late_hybrid,O1,t,NA,NA
15,Late_hybrid,R1,t,NA,NA
15,Late_hybrid,R1,b,NA,NA
15,Late_hybrid,R1,b,61,NA
15,Late_hybrid,R1,b,NA,NA
15,Late_hybrid,R1,b,52,NA
15,Late_hybrid,R1,b,45,NA
15,Late_hybrid,R1,b,45,NA
15,Late_hybrid,F2,t,NA,NA
15,Late_hybrid,H3,t,NA,NA
15,Late_hybrid,K3,t,NA,NA
15,Late_hybrid,K3,b,NA,NA
15,Late_hybrid,O1,t,NA,NA
15,Late_hybrid,R1,t,NA,NA
15,Late_hybrid,R1,b,NA,NA
15,Late_hybrid,R1,b,61,NA
15,Late_hybrid,R1,b,NA,NA
15,Late_hybrid,R1,b,61,NA
15,Late_hybrid,R1,b,NA,NA
15,Late_hybrid,R1,b,59,76
20,Late_hybrid,F2,t,NA,NA
20,Late_hybrid,F2,b,NA,NA
20,Late_hybrid,F2,b,26,NA
20,Late_hybrid,H3,t,NA,NA
20,Late_hybrid,H3,b,26,31
20,Late_hybrid,H3,b,25,28
20,Late_hybrid,H3,b,29,34
20,Late_hybrid,H3,b,25,28
20,Late_hybrid,K3,t,NA,NA
20,Late_hybrid,K3,b,35,40
20,Late_hybrid,K3,b,31,38
20,Late_hybrid,K3,b,29,34
20,Late_hybrid,O1,t,NA,NA
20,Late_hybrid,O1,b,35,NA
20,Late_hybrid,R1,t,NA,NA
20,Late_hybrid,R1,b,35,50
20,Late_hybrid,R1,b,35,46
20,Late_hybrid,R1,b,38,NA
20,Late_hybrid,R1,b,26,35
20,Late_hybrid,R1,b,31,38
20,Late_hybrid,F2,t,NA,NA
20,Late_hybrid,F2,b,NA,NA
20,Late_hybrid,H3,t,NA,NA
20,Late_hybrid,K3,t,NA,NA
20,Late_hybrid,K3,b,NA,NA
20,Late_hybrid,K3,b,NA,NA
20,Late_hybrid,O1,t,NA,NA
20,Late_hybrid,O1,b,NA,NA
20,Late_hybrid,R1,t,NA,NA
20,Late_hybrid,R1,b,NA,NA
20,Late_hybrid,R1,b,NA,NA
20,Late_hybrid,R1,b,NA,NA
20,Late_hybrid,R1,b,NA,NA
20,Late_hybrid,F2,t,NA,NA
20,Late_hybrid,H3,t,NA,NA
20,Late_hybrid,K3,t,NA,NA
20,Late_hybrid,K3,b,NA,NA
20,Late_hybrid,O1,t,NA,NA
20,Late_hybrid,O1,b,NA,NA
