Temperature,Genotype,Tree,Bud_Type,Time to break bud (BBCH 09),Time to break bud (BBCH 10)
20,Late_hybrid,R1,t,NA,NA
20,Late_hybrid,R1,b,NA,NA
20,Late_hybrid,R1,b,NA,NA
20,Late_hybrid,R1,b,31,38
20,Late_hybrid,F2,t,NA,NA
20,Late_hybrid,H3,t,NA,NA
20,Late_hybrid,K3,t,NA,NA
20,Late_hybrid,O1,t,NA,NA
20,Late_hybrid,R1,t,NA,NA
25,Late_hybrid,F2,t,22,26
25,Late_hybrid,F2,b,19,24
25,Late_hybrid,F2,b,NA,NA
25,Late_hybrid,F2,b,NA,NA
25,Late_hybrid,F2,b,23,25
25,Late_hybrid,H3,t,NA,NA
25,Late_hybrid,H3,b,NA,NA
25,Late_hybrid,H3,b,NA,NA
25,Late_hybrid,H3,b,NA,NA
25,Late_hybrid,H3,b,18,20
25,Late_hybrid,K3,t,NA,NA
25,Late_hybrid,K3,b,20,23
25,Late_hybrid,K3,b,17,20
25,Late_hybrid,K3,b,16,19
25,Late_hybrid,K3,b,17,19
25,Late_hybrid,K3,b,17,20
25,Late_hybrid,K3,b,16,19
25,Late_hybrid,K3,b,19,22
25,Late_hybrid,O1,t,NA,NA
25,Late_hybrid,O1,b,24,NA
25,Late_hybrid,O1,b,24,27
25,Late_hybrid,O1,b,NA,NA
25,Late_hybrid,R1,t,NA,NA
25,Late_hybrid,R1,b,28,42
25,Late_hybrid,R1,b,NA,NA
25,Late_hybrid,R1,b,NA,NA
25,Late_hybrid,R1,b,NA,NA
25,Late_hybrid,R1,b,23,27
25,Late_hybrid,F2,t,NA,NA
25,Late_hybrid,H3,t,NA,NA
25,Late_hybrid,H3,b,NA,NA
25,Late_hybrid,K3,t,NA,NA
25,Late_hybrid,K3,b,23,28
25,Late_hybrid,K3,b,19,25
25,Late_hybrid,K3,b,19,23
25,Late_hybrid,O1,t,NA,NA
25,Late_hybrid,O1,b,24,30
25,Late_hybrid,O1,b,23,26
25,Late_hybrid,R1,t,NA,NA
25,Late_hybrid,R1,b,28,NA
25,Late_hybrid,R1,b,NA,NA
25,Late_hybrid,R1,b,21,26
25,Late_hybrid,F2,t,NA,NA
25,Late_hybrid,H3,t,NA,NA
25,Late_hybrid,K3,t,26,28
25,Late_hybrid,O1,t,NA,NA
25,Late_hybrid,R1,t,29,31
25,Late_hybrid,R1,b,21,26
5,Chandler,1,t,NA,NA
5,Chandler,1,b,NA,NA
5,Chandler,1,b,NA,160
5,Chandler,2,t,NA,NA
5,Chandler,2,b,NA,NA
5,Chandler,2,b,NA,146
5,Chandler,3,t,NA,NA
5,Chandler,3,b,NA,NA
5,Chandler,3,b,NA,NA
5,Chandler,3,b,NA,NA
5,Chandler,4,t,NA,NA
5,Chandler,4,b,NA,157
5,Chandler,1,t,NA,NA
5,Chandler,1,b,NA,NA
5,Chandler,2,t,NA,NA
5,Chandler,2,b,NA,222
5,Chandler,3,t,NA,NA
5,Chandler,3,b,NA,NA
5,Chandler,4,t,NA,NA
5,Chandler,4,b,NA,NA
5,Chandler,1,t,NA,NA
5,Chandler,2,t,NA,NA
5,Chandler,3,t,NA,NA
5,Chandler,4,t,NA,NA
10,Chandler,1,t,58.29166667,NA
10,Chandler,1,b,60.29166667,NA
10,Chandler,1,b,NA,NA
10,Chandler,2,t,NA,NA
10,Chandler,2,b,NA,NA
10,Chandler,2,b,56.29166667,65
10,Chandler,2,b,60.29166667,85
10,Chandler,3,t,60.29166667,NA
10,Chandler,3,b,NA,NA
10,Chandler,3,b,NA,NA
10,Chandler,3,b,58.29166667,NA
10,Chandler,4,t,NA,NA
10,Chandler,4,b,NA,NA
10,Chandler,4,b,62.29166667,78
10,Chandler,1,t,NA,NA
10,Chandler,1,b,60.29166667,128
10,Chandler,2,t,58.29166667,NA
10,Chandler,2,b,NA,NA
10,Chandler,2,b,58.29166667,81
10,Chandler,3,t,NA,NA
10,Chandler,3,b,58.29166667,74
10,Chandler,4,t,58.29166667,NA
10,Chandler,4,b,51.29166667,NA
10,Chandler,4,b,NA,NA
15,Chandler,1,t,NA,NA
15,Chandler,1,b,23.29166667,27
15,Chandler,2,t,NA,NA
15,Chandler,2,b,NA,NA
15,Chandler,2,b,NA,NA
15,Chandler,3,t,20.29166667,NA
15,Chandler,3,b,23.29166667,NA
15,Chandler,3,b,29.29166667,51
15,Chandler,3,b,28.29166667,32
15,Chandler,4,t,NA,NA
15,Chandler,4,b,NA,NA
15,Chandler,4,b,29.29166667,51
15,Chandler,1,t,16.29166667,NA
15,Chandler,1,b,NA,NA
15,Chandler,2,t,NA,NA
15,Chandler,2,b,29.29166667,34
15,Chandler,2,b,50.29166667,NA
15,Chandler,3,t,NA,NA
15,Chandler,3,b,24.29166667,30
15,Chandler,4,t,NA,NA
15,Chandler,1,t,NA,NA
15,Chandler,2,t,NA,NA
15,Chandler,3,t,11.29166667,NA
15,Chandler,4,t,NA,NA
20,Chandler,1,t,11.29166667,16
20,Chandler,1,b,13.29166667,20
20,Chandler,1,b,13.29166667,23
20,Chandler,1,b,13.29166667,19
20,Chandler,2,t,13.29166667,NA
20,Chandler,2,b,13.29166667,29
20,Chandler,2,b,18.29166667,29
20,Chandler,2,b,18.29166667,20
20,Chandler,3,t,NA,NA
20,Chandler,3,b,11.29166667,18
20,Chandler,3,b,18.29166667,23
20,Chandler,3,b,18.29166667,22
20,Chandler,4,t,NA,NA
20,Chandler,4,b,13.29166667,16
20,Chandler,1,t,NA,NA
20,Chandler,1,b,16.29166667,19
20,Chandler,1,b,23.29166667,27
20,Chandler,2,t,NA,NA
20,Chandler,2,b,16.29166667,27
20,Chandler,2,b,18.29166667,20
20,Chandler,3,t,11.29166667,NA
20,Chandler,3,b,13.29166667,16
20,Chandler,4,t,11.29166667,NA
20,Chandler,4,b,NA,NA
25,Chandler,1,t,NA,NA
25,Chandler,1,b,20.29166667,NA
25,Chandler,1,b,13.29166667,16
25,Chandler,2,t,11.29166667,NA
25,Chandler,2,b,NA,NA
25,Chandler,3,t,NA,NA
25,Chandler,3,b,20.29166667,NA
25,Chandler,3,b,28.29166667,30
25,Chandler,4,t,NA,NA
25,Chandler,4,b,10.29166667,15
25,Chandler,1,t,10.29166667,NA
25,Chandler,1,b,NA,NA
25,Chandler,2,t,NA,NA
25,Chandler,2,b,20.29166667,NA
25,Chandler,2,b,23.29166667,NA
25,Chandler,2,b,16.29166667,22
25,Chandler,3,t,10.29166667,NA
25,Chandler,3,b,22.29166667,NA
25,Chandler,3,b,23.29166667,NA
25,Chandler,4,t,NA,NA
25,Chandler,1,t,11.29166667,NA
25,Chandler,2,t,NA,NA
25,Chandler,3,t,11.29166667,NA
25,Chandler,4,t,NA,NA
5,Franquette,1,t,NA,NA
5,Franquette,1,b,NA,NA
5,Franquette,2,t,NA,NA
5,Franquette,2,b,NA,NA
5,Franquette,2,b,NA,NA
5,Franquette,2,b,NA,NA
5,Franquette,3,t,NA,NA
5,Franquette,3,b,NA,NA
5,Franquette,3,b,NA,NA
5,Franquette,3,b,NA,NA
5,Franquette,3,b,NA,NA
5,Franquette,4,t,NA,NA
5,Franquette,4,b,NA,NA
5,Franquette,4,b,NA,NA
5,Franquette,4,b,NA,NA
5,Franquette,4,b,NA,170
5,Franquette,4,b,NA,NA
5,Franquette,4,b,NA,157
5,Franquette,5,t,NA,NA
5,Franquette,1,t,NA,NA
5,Franquette,2,t,NA,NA
5,Franquette,3,t,NA,NA
5,Franquette,4,t,NA,NA
5,Franquette,5,t,NA,NA
10,Franquette,1,t,NA,NA
10,Franquette,1,b,51.29166667,97
10,Franquette,1,b,58.29166667,97
10,Franquette,1,b,58.29166667,85
10,Franquette,1,b,60.29166667,95
10,Franquette,2,t,NA,NA
10,Franquette,2,b,51.29166667,NA
10,Franquette,2,b,51.29166667,72
10,Franquette,2,b,51.29166667,69
10,Franquette,2,b,51.29166667,69
10,Franquette,3,t,NA,NA
10,Franquette,3,b,51.29166667,97
10,Franquette,3,b,51.29166667,NA
10,Franquette,3,b,51.29166667,NA
10,Franquette,3,b,79.29166667,NA
10,Franquette,4,t,NA,NA
10,Franquette,4,b,NA,NA
10,Franquette,5,t,72.29166667,83
10,Franquette,5,b,58.29166667,85
10,Franquette,1,t,NA,NA
10,Franquette,2,t,NA,NA
10,Franquette,3,t,NA,NA
10,Franquette,4,t,NA,NA
10,Franquette,5,t,NA,NA
15,Franquette,1,t,NA,NA
15,Franquette,1,b,62.29166667,NA
15,Franquette,1,b,NA,NA
15,Franquette,2,t,NA,NA
15,Franquette,2,b,18.29166667,32
15,Franquette,2,b,18.29166667,30
15,Franquette,2,b,18.29166667,29
15,Franquette,2,b,18.29166667,27
15,Franquette,2,b,20.29166667,31
15,Franquette,3,t,NA,NA
15,Franquette,3,b,18.29166667,30
15,Franquette,3,b,18.29166667,32
15,Franquette,3,b,18.29166667,34
15,Franquette,3,b,18.29166667,29
15,Franquette,4,t,NA,NA
15,Franquette,4,b,18.29166667,28
15,Franquette,4,b,23.29166667,33
15,Franquette,5,t,20.29166667,NA
15,Franquette,5,b,NA,NA
15,Franquette,1,t,NA,NA
15,Franquette,2,t,NA,NA
15,Franquette,3,t,NA,NA
15,Franquette,4,t,NA,NA
15,Franquette,5,t,NA,NA
20,Franquette,1,t,20.29166667,26
20,Franquette,1,b,16.29166667,21
20,Franquette,1,b,16.29166667,20
20,Franquette,2,t,18.29166667,23
20,Franquette,2,b,13.29166667,25
20,Franquette,2,b,13.29166667,19
20,Franquette,2,b,13.29166667,18
20,Franquette,2,b,13.29166667,18
20,Franquette,2,b,13.29166667,17
20,Franquette,2,b,13.29166667,17
20,Franquette,2,b,13.29166667,20
20,Franquette,3,t,23.29166667,NA
20,Franquette,3,b,13.29166667,20
20,Franquette,3,b,18.29166667,23
